epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4636,1.16086,1.89253,1.25206,0.52707,0.5,0.19938,0.08449,1.48456,3.27811,2.43015,0.0874,0.0014,0.0014
2,85.4089,1.2468,1.30606,1.31458,0.56599,0.375,0.15942,0.04181,2.26993,7.21509,21.665,0.0738996,0.00289964,0.00289964
3,127.346,1.372,1.15944,1.37665,0.5438,0.5,0.15653,0.06049,2.11553,198.451,103.194,0.0603978,0.00439781,0.00439781
4,170.987,1.34836,0.98723,1.2937,0.01194,0.60526,0.02036,0.01287,1.61212,320.105,43.5305,0.0468934,0.00589338,0.00589338
5,213.836,1.35889,1.04899,1.38376,0.02609,0.52632,0.01457,0.0056,2.50459,380.719,37.9238,0.0333853,0.00738525,0.00738525
6,255.923,1.35339,1.03753,1.33168,0.1446,0.25146,0.15377,0.05893,1.5319,3.49216,2.09998,0.0198723,0.0088723,0.0088723
7,298.605,1.30581,0.98454,1.3491,0.3181,0.34211,0.36392,0.118,2.45538,2.77867,4.27036,0.0099552,0.0099552,0.0099552
8,342.17,1.33357,0.93908,1.332,0.69203,0.02632,0.03304,0.00941,3.24457,33.3617,12.2625,0.00993906,0.00993906,0.00993906
9,384.48,1.19482,0.86401,1.26157,0.06327,0.02632,0.03937,0.01009,3.63272,4.42811,9.41022,0.00992045,0.00992045,0.00992045
10,429.453,1.267,0.92264,1.26389,0.07208,0.1981,0.03737,0.01118,3.55895,376.144,5.97268,0.00989939,0.00989939,0.00989939
11,472.729,1.27843,0.89844,1.30137,0.31299,0.39254,0.24082,0.09977,2.63469,25.0305,4.57164,0.00987589,0.00987589,0.00987589
12,514.944,1.27676,0.86759,1.26669,0.01193,0.02632,0.00624,0.00284,2.88799,9.20387,4.70464,0.00984996,0.00984996,0.00984996
13,558.201,1.24659,0.8249,1.25391,0.01385,0.76974,0.01593,0.00688,2.25884,6.24119,3.89926,0.00982162,0.00982162,0.00982162
14,606.31,1.21957,0.81346,1.25156,0.861,0.73372,0.84382,0.58211,0.92149,4.71421,1.19272,0.00979087,0.00979087,0.00979087
15,653.382,1.11188,0.78056,1.19169,0.81415,0.82895,0.87072,0.60802,0.912,2.51949,1.20973,0.00975773,0.00975773,0.00975773
16,696.201,1.14098,0.69927,1.21441,0.95427,0.71053,0.79121,0.57576,0.85635,22.0825,1.15773,0.00972222,0.00972222,0.00972222
17,738.236,1.18004,0.70642,1.20222,0.79448,0.67105,0.69788,0.54929,0.83877,31.6514,1.1362,0.00968436,0.00968436,0.00968436
18,780.321,1.15968,0.70928,1.20129,0.89507,0.74882,0.91382,0.62719,0.89899,3.24043,1.19998,0.00964417,0.00964417,0.00964417
19,823.659,1.19949,0.70509,1.2135,0.91283,0.88158,0.93283,0.61146,0.89675,2.92851,1.20441,0.00960166,0.00960166,0.00960166
20,865.563,1.01253,0.66543,1.15648,0.86348,0.81579,0.87131,0.62052,0.83488,2.46805,1.15071,0.00955686,0.00955686,0.00955686
21,907.087,1.09279,0.69322,1.17777,0.90226,0.82439,0.93779,0.6284,0.86056,0.76141,1.18092,0.0095098,0.0095098,0.0095098
22,948.853,1.14977,0.72238,1.17703,0.93207,0.887,0.93867,0.67056,0.93846,1.44984,1.26887,0.00946048,0.00946048,0.00946048
23,990.563,1.1722,0.71983,1.17797,0.8889,0.84211,0.89745,0.64101,0.80932,4.91643,1.12189,0.00940895,0.00940895,0.00940895
24,1032.16,1.1596,0.70311,1.18303,0.93332,0.89474,0.92299,0.65616,0.82091,2.42117,1.11584,0.00935522,0.00935522,0.00935522
25,1073.9,1.14114,0.67544,1.18574,0.9636,0.92105,0.92969,0.6338,0.92258,4.03558,1.20621,0.00929932,0.00929932,0.00929932
26,1115.46,1.13824,0.65489,1.18401,0.9436,0.88158,0.93711,0.63638,0.89078,2.21355,1.15436,0.00924128,0.00924128,0.00924128
27,1157.55,1.08095,0.63379,1.18852,0.95096,0.86842,0.89999,0.65278,0.76531,7.78347,1.06565,0.00918114,0.00918114,0.00918114
28,1199.47,1.0778,0.60512,1.15904,0.93467,0.98684,0.96409,0.67588,0.90006,1.94585,1.14464,0.00911891,0.00911891,0.00911891
29,1241.14,1.09636,0.64951,1.16574,0.81118,0.94737,0.92559,0.66877,0.83948,0.81844,1.16104,0.00905463,0.00905463,0.00905463
30,1282.86,1.13538,0.66409,1.1778,0.77832,0.89151,0.90418,0.6563,0.77808,0.67285,1.10433,0.00898834,0.00898834,0.00898834
31,1324.71,1.03861,0.61138,1.12075,0.88727,0.90789,0.95419,0.66994,0.77906,0.67533,1.10316,0.00892007,0.00892007,0.00892007
32,1366.79,1.08382,0.61818,1.16097,0.88925,0.97368,0.95314,0.67864,0.78352,0.61953,1.09015,0.00884984,0.00884984,0.00884984
33,1408.74,1.05964,0.61761,1.16234,0.91492,0.83874,0.9318,0.69995,0.76747,0.71001,1.05474,0.0087777,0.0087777,0.0087777
34,1450.41,1.0268,0.5956,1.12478,0.95869,0.93197,0.96913,0.7076,0.69354,0.4484,1.02807,0.00870369,0.00870369,0.00870369
35,1492.1,1.08338,0.60945,1.18259,0.96283,0.75508,0.88963,0.63398,0.7921,0.78319,1.08749,0.00862783,0.00862783,0.00862783
36,1533.87,1.01991,0.5589,1.10148,0.8146,0.86842,0.90435,0.66164,0.78054,1.09194,1.09375,0.00855018,0.00855018,0.00855018
37,1575.54,1.00792,0.56662,1.1578,0.97831,0.89474,0.9484,0.68151,0.76917,1.73486,1.08424,0.00847076,0.00847076,0.00847076
38,1617.75,1.07234,0.57449,1.13052,0.98266,0.82895,0.88278,0.65349,0.77027,1.4068,1.07173,0.00838962,0.00838962,0.00838962
39,1659.68,1.03641,0.59338,1.13666,0.96864,0.75233,0.82774,0.61956,0.77518,3.82444,1.0742,0.0083068,0.0083068,0.0083068
